name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Lake Hills Greenbelt,Puget Sound and Islands -- Seattle-Tacoma Area,"2.3 miles, roundtrip",50,330,3.67,Dogs allowed on leash|Wildlife|Good for kids|Lakes|Fall foliage,"Hike through a pastoral area first settled and farmed in the 1880s. Along the way, enjoy a dense grove of cedars, followed by close-up views of blueberry fields that still produce an annual crop. Circle Larsen Lake, and view a restored pioneer home. Optionally, extend your hike to view nearby Phantom Lake.",roundtrip,2.3,Puget Sound and Islands
Snow Lake,Snoqualmie Region -- Snoqualmie Pass,"7.2 miles, roundtrip",1800,4400,4.16,Ridges/passes|Dogs allowed on leash|Established campsites|Mountain views|Old growth|Waterfalls|Good for kids|Lakes,"A relatively short and easy hike within a stone’s throw of Seattle, Snow Lake delivers splendorous alpine scenery – crystal clear waters, towering peaks – at a mere pittance of sweat and toil. Just don’t expect to have the trail to yourself – Snow Lake is Washington's most heavily-used trail in a wilderness area!",roundtrip,7.2,Snoqualmie Region
Skookum Flats,Mount Rainier Area -- Chinook Pass - Hwy 410,"7.8 miles, roundtrip",300,2550,3.68,Wildflowers/Meadows|Mountain views|Wildlife|Waterfalls|Old growth|Good for kids|Dogs allowed on leash|Rivers,Choose between a shorter or longer river walk through old-growth forest to a 250-foot cascading waterfall.,roundtrip,7.8,Mount Rainier Area
Teneriffe Falls,Snoqualmie Region -- North Bend Area,"5.6 miles, roundtrip",1585,2370,3.92,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls,"You'll work up a sweat on this easy to moderate hike to the spectacular Teneriffe Falls. Go in the spring when the tread is snow-free and the waterfall is flowing at full volume. Along the way, you'll be rewarded with views of the surrounding Snoqualmie valley and nearby peaks.",roundtrip,5.6,Snoqualmie Region
Twin Falls,Snoqualmie Region -- North Bend Area,"2.6 miles, roundtrip",500,1000,4.14,Old growth|Rivers|Good for kids|Dogs allowed on leash|Waterfalls,"Visit a trio (yes, trio) of waterfalls just off I-90 on this sure-to-please short trail, perfect for families.",roundtrip,2.6,Snoqualmie Region
Chenuis Falls,Mount Rainier Area -- NW - Carbon River/Mowich,"8.0 miles, roundtrip",500,2200,3.14,Mountain views|Waterfalls|Old growth|Good for kids|Dogs not allowed|Rivers,A long walk (or short mountain bike ride!) leads to a rolling falls that feeds into the rushing Carbon River.,roundtrip,8,Mount Rainier Area
Old Mine Trail,Mount Rainier Area -- NW - Carbon River/Mowich,"3.4 miles, roundtrip",425,2150,5.00,Dogs not allowed|Good for kids|Fall foliage,"An infrequently-visited trail off the Carbon River Road, the Old Mine Trail follows a short but steep roadbed to a mineshaft. It's a good outing for kids, if they're willing to make the short push up the steep section.",roundtrip,3.4,Mount Rainier Area
Flaming Geyser State Park,Puget Sound and Islands -- Seattle-Tacoma Area,"4.0 miles, roundtrip",450,425,2.68,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage|Rivers,"The striking name is a holdover from a previous era when prospectors seeking coal seams drilled into a pocket of natural gas and water. The result was worthy of the name. But the ""geyser"" did not last, and the flame, at first several feet high, soon dwindled to a few inches. Today, even that is gone. But visitors can view a small but still actively bubbling geyser, enjoy views of the Green River and a strikingly beautiful forest.",roundtrip,4,Puget Sound and Islands
Salmon Ridge Snowshoe,North Cascades -- Mount Baker Area,"5.4 miles, roundtrip",300,2400,4.00,Wildlife|Good for kids|Dogs allowed on leash|Rivers,"With gentle terrain, easy river access and views of snow-laden peaks, this narrow river valley is an inviting snowshoe destination, especially for beginners.",roundtrip,5.4,North Cascades
May Valley Loop,Issaquah Alps -- Squak Mountain,"6.6 miles, roundtrip",1684,2024,2.96,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Rivers,"This forested park, a wilderness with glimpses of Issaquah below, has miles of winding trails alongside bubbling creeks and narrow ravines. There are several trail loop options on this 2,024-foot-high mountain. With multi-use trails and a natural area, hikers have plenty to explore in this quiet sanctuary outside of Issaquah.",roundtrip,6.6,Issaquah Alps
Terrace Creek Park,Puget Sound and Islands -- Seattle-Tacoma Area,"2.0 miles, roundtrip",80,440,5.00,Wildflowers/Meadows|Wildlife|Good for kids|Dogs allowed on leash|Fall foliage,"Hike a green, forested trail for a mile or so along tiny Lyon Creek in Mountlake Terrace. In season, enjoy a variety of wildflowers or, later in the year, some fall colors. Be alert for squirrels and for a variety of birds. As a hike, it's very easy and relaxing. For a more dynamic experience, put on your trail runners and jog the entire way.",roundtrip,2,Puget Sound and Islands
Taylor River - Otter Falls,Snoqualmie Region -- North Bend Area,"11.0 miles, roundtrip",650,1750,4.02,Dogs allowed on leash|Waterfalls|Good for kids|Lakes|Fall foliage|Rivers,"Lose yourself in second-growth forest as you traverse an old logging road that heads into quiet wilderness just an hour from the urban sprawl of Puget Sound. Enjoy the sounds of water rushing and birds singing. Explore mossy boulders and cross multiple burbling creeks, even do a small amount of cross-country travel on the way to the piece de resistance – a 1,200 foot waterfall that streams into tiny Lipsy Lake before draining to the Taylor River.",roundtrip,11,Snoqualmie Region
Meadowdale Beach Park - Lunds Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,"2.5 miles, roundtrip",425,425,3.68,Mountain views|Dogs allowed on leash|Coast|Rivers,"Hike down a lushly forested ravine with a babbling creek to its estuary as it empties into Puget Sound. Heading to the beach, breathe in the serene panorama of Brown’s Bay, Puget Sound, the islands, and the Olympic Mountains. Watch seabirds and go beachcombing to look for crabshells, anemones, and other treasures.",roundtrip,2.5,Puget Sound and Islands
